# Downloaded on 2020-02-05 from https://sandbag.org.uk/carbon-price-viewer/ by Markus Fleschutz

"Date","Price"
"2019-04-08 00:00:00",25,9
"2019-04-15 00:00:00",26,96
"2019-04-22 00:00:00",26,915999999999997
"2019-04-29 00:00:00",25,588
"2019-05-06 00:00:00",26,07
"2019-05-13 00:00:00",25,412
"2019-05-20 00:00:00",25,627999999999997
"2019-05-27 00:00:00",25,194000000000003
"2019-06-03 00:00:00",24,137999999999998
"2019-06-10 00:00:00",24,936
"2019-06-17 00:00:00",25,034
"2019-06-24 00:00:00",26,648000000000003
"2019-07-01 00:00:00",26,477999999999998
"2019-07-08 00:00:00",27,698
"2019-07-15 00:00:00",28,496000000000002
"2019-07-22 00:00:00",29,03
"2019-07-29 00:00:00",28,572000000000003
"2019-08-05 00:00:00",28,381999999999998
"2019-08-12 00:00:00",26,514
"2019-08-19 00:00:00",25,906
"2019-08-26 00:00:00",25,996
"2019-09-02 00:00:00",25,306
"2019-09-09 00:00:00",26,159999999999997
"2019-09-16 00:00:00",26,222
"2019-09-23 00:00:00",25,479999999999997
"2019-09-30 00:00:00",24,026
"2019-10-07 00:00:00",23,258
"2019-10-14 00:00:00",25,619999999999997
"2019-10-21 00:00:00",25,35
"2019-10-28 00:00:00",25,494000000000003
"2019-11-04 00:00:00",25,142
"2019-11-11 00:00:00",24,25
"2019-11-18 00:00:00",23,875999999999998
"2019-11-25 00:00:00",24,832
"2019-12-02 00:00:00",24,54
"2019-12-09 00:00:00",24,728
"2019-12-16 00:00:00",26,124000000000002
"2019-12-23 00:00:00",26,240000000000002
"2019-12-30 00:00:00",24,6675
"2020-01-06 00:00:00",24,258
"2020-01-13 00:00:00",24,478
"2020-01-20 00:00:00",24,766
"2020-01-27 00:00:00",24,101999999999997
"2020-02-03 00:00:00",23,225
